"PIB File Number","Date","Disposition","Service Type","Force Type","Force Level","Officer Race","Officer Gender","Officer Age","Officers Yrs of Service","Subject Gender","Subject Race","Subject Age","Subject Injured","UOF Reason","Officer Injured","Number of Officers","Binning Number of Officers","Force.Type.Binning"
"FTN2016-0619","12/09/2016","Use Of Force Authorized","Call for Service","Firearm (Exhibited)","L1","Black","Male","24","6","Male","Black","0","No","Resisting Lawful Arrest","No",1,"1","1"
"FTN2016-0618","12/09/2016","Use Of Force Authorized","Traffic Stop","Firearm (Exhibited) | Hands","L1 | L1","White | White","Male | Male","32 | 32","16 | 16","Male","Black","41","No","Resisting Lawful Arrest","No | No",2,"2","1"
"FTN2016-0620","12/09/2016","Use Of Force Authorized","Call for Service","Canine (No Bite) | Hands | Firearm (Exhibited)","L2 | L1 | L1","White | White | Black","Male | Male | Female","57 | 39 | 33","14 | 11 | 5","Male","Black","16","No","Resisting Lawful Arrest","No | No | No",3,"3+","2"
"FTN2016-0623","12/09/2016","Use Of Force Authorized","Call for Service","CEW Exhibited/Laser","L1","Hispanic","Male","39","19",NA,NA,"38","No","refuse verbal commands","No",1,"1","2"
"FTN2016-0621","12/09/2016","Use Of Force Authorized","Arresting","Force (Take Down) | Force (Take Down)","L2 | L2","White | White","Male | Female","34 | 39","11 | 7","Male","Black","18","No","Resisting Lawful Arrest","No | No",2,"2","1"
"FTN2016-0622","12/10/2016","Use Of Force Authorized","Arresting","Hands | Force (Take Down) | Hands | Hands","L1 | L2 | L1 | L1","White | Black | White | White","Male | Male | Male | Female","34 | 33 | 27 | 39","11 | 9 | 8 | 7","Male","Black","30","No","Resisting Lawful Arrest","No | No | No | No",4,"3+","1"
"FTN2016-0624","12/12/2016","Use Of Force Authorized","Arresting","Hands | Hands | Hands","L1 | L1 | L1","Black | White | White","Male | Male | Male","39 | 45 | 29","12 | 16 | 6","Female","White","33","No","Battery on Police Officer","No | No | No",3,"3+","1"
"FTN2016-0625","12/15/2016","Use Of Force Authorized","Call for Service","Force (Take Down)","L2","White","Male","54","18","Female","Black","19","No","Battery on Police Officer","Yes",1,"1","1"
"FTN2016-0626","12/16/2016","Use Of Force Authorized","Call for Service","Firearm (Exhibited)","L1","White","Male","28","6","Male","Black","62","No","refuse verbal commands","No",1,"1","1"
"FTN2016-0628","12/17/2016","Use Of Force Authorized","Arresting","CEW Deployment | Firearm (Exhibited)","L2 | L1","Black | Black","Male | Female","32 | 34","11 | 13","Male","Black","32","Yes","Resisting Lawful Arrest","No | No",2,"2","2"
"FTN2016-0629","12/17/2016","Use Of Force Authorized","Call for Service","Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","White | White","Male | Male","29 | 26","5 | 5","Male","Black","34","No","refuse verbal commands","No | No",2,"2","1"
"FTN2016-0627","12/17/2016","Use Of Force Authorized","Pedestrian Stop","Force (Take Down)","L2","Black","Male","26","5","Male","Black","26","No","refuse verbal commands","No",1,"1","1"
"FTN2016-0631","12/17/2016","Use Of Force Authorized",NA,"Firearm (Exhibited)","L1","Black","Male","42","14"," | Male"," | Black","35 | 28","No | No","Escape","No",1,"1","1"
"FTN2016-0633","12/17/2016","Use Of Force Authorized","Call for Service","Firearm (Exhibited)","L1","Black","Male","51","26",NA,NA,"35","No",NA,"No",1,"1","1"
"FTN2016-0630","12/18/2016","Use Of Force Authorized",NA,"CEW Deployment","L2","White","Male","34","8","Male","Hispanic","21","No","Battery on Police Officer","Yes",1,"1","2"
"FTN2016-0636","12/19/2016","Use Of Force Authorized","Call for Service","Firearm (Exhibited)","L1","White","Male","42","23","Female","Black","31","No",NA,"No",1,"1","1"
"FTN2016-0632","12/19/2016","Use Of Force Authorized","Call for Service","Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","White | White","Female | Female","41 | 37","13 | 6","Male","Black",NA,"No","Resisting Lawful Arrest","No | No",2,"2","1"
"FTN2016-0634","12/20/2016","Use Of Force Authorized","Arresting",NA,"L1","White","Male","29","6","Female","White",NA,"No","Battery on Police Officer","Yes",1,"1",NA
"FTN2016-0635","12/20/2016","Use Of Force Authorized","Call for Service","CEW Exhibited/Laser | Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1 | L1","Black | Black | Asian/Pacifi","Male | Male | Male","28 | 28 | 41","6 | 6 | 5","Male","Black","21","No","refuse verbal commands","No | No | No",3,"3+","2"
"FTN2016-0637","12/20/2016","Use Of Force Authorized","Call for Service","Hands","L1","Black","Male","48","23","Female","White","0","No",NA,"Yes",1,"1","1"
"FTN2016-0638","12/21/2016","Use Of Force Authorized","Pedestrian Stop","CEW Deployment","L2","White","Male","30","6","Male","Black","25","No","Resisting Lawful Arrest","No",1,"1","2"
"FTN2016-0639","12/22/2016","Use Of Force Authorized","Call for Service","Firearm (Exhibited)","L1","White","Male","30","6","Male","Black","20","No",NA,"No",1,"1","1"
"FTN2016-0640","12/23/2016","Use Of Force Authorized",NA,NA,"L1","Black","Female","29","6",NA,NA,NA,"No","Escape","Yes",1,"1",NA
"FTN2016-0641","12/24/2016","Use Of Force Authorized","Arresting","CEW Exhibited/Laser","L1","Black","Male","33","16","Male","Black","36","No","refuse verbal commands","No",1,"1","2"
"FTN2016-0648","12/26/2016","Use Of Force Authorized",NA,"Hands | CEW Exhibited/Laser","L1 | L1","White | White","Male | Male","32 | ","13 | ","Male","Black","22","No",NA,"No | No",2,"2","2"
"FTN2016-0646","12/26/2016","Use Of Force Authorized","Arresting","CEW Deployment","L2","Black","Female","29","7","Male","Black","22","No",NA,"No",1,"1","2"
"FTN2016-0645","12/26/2016","Use Of Force Authorized","Call for Service","CEW Exhibited/Laser","L1","Black","Male","33","17","Male","Black","28","No","refuse verbal commands","No",1,"1","2"
"FTN2016-0647","12/26/2016","Pending","Arresting","Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1 | L1","White | White | Black","Male | Male | Male","29 | 46 | 28","12 | 26 | 8","Male | Male","Black | Black","18 | 19","No | No","Escape","No | No | No",3,"3+","1"
"FTN2016-0647","12/26/2016","Pending","Arresting","Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1 | L1","White | White | Black","Male | Male | Male","29 | 46 | 28","12 | 26 | 8","Male | Male","Black | Black","18 | 19","No | No","Escape","No | No | No",3,"3+","1"
"FTN2016-0649","12/27/2016","Use Of Force Authorized","Call for Service","CEW Exhibited/Laser","L1","Black","Male","33","17","Male","Black","15","No","refuse verbal commands","No",1,"1","2"
"FTN2016-0651","12/29/2016","Use Of Force Authorized","Arresting","Force (Take Down)","L2","White","Male","38","16","Male","White","26","No","Resisting Lawful Arrest","No",1,"1","1"
"FTN2016-0652","12/29/2016","Use Of Force Not Authorized","Call for Service","Hands","L1","Black","Male","57","12","Male","Black","47","No",NA,"No",1,"1","1"
"FTN2016-0650","12/29/2016","Use Of Force Authorized","Pedestrian Stop","CEW Exhibited/Laser","L1","White","Male","42","23","Male","Black","24","No","refuse verbal commands","No",1,"1","2"
"FTN2016-0653","12/31/2016","Use Of Force Authorized","Call for Service","Force (Take Down)","L2","White","Female","44","6","Male","Black","34","Yes","Resisting Lawful Arrest","No",1,"1","1"
"FTN2017-0001","01/01/2017","Use Of Force Authorized","Call for Service","Hands","L1","Black","Male","39","12","Male","White","29","No","Escape","No",1,"1","1"
"FTN2017-0002","01/02/2017","Use Of Force Not Authorized","Call for Service","CEW","L4","Black","Female","46","17","Male","Black","22","No","Resisting Lawful Arrest","No",1,"1","2"
"FTN2017-0003","01/04/2017","Use Of Force Authorized","Traffic Stop","Firearm (Exhibited)","L1","Black","Male","38","16","Male | Male","Black | Black","23 | 22","No | No","Resisting Lawful Arrest","No",1,"1","1"
"FTN2017-0004","01/04/2017","Use Of Force Authorized","Arresting","Firearm (Exhibited) | Firearm (Exhibited) | CEW Exhibited/Laser","L1 | L1 | L1","White | White | Black","Male | Male | Male","39 | 47 | 43","14 | 26 | 20","Male","Black","50","No","Resisting Lawful Arrest","No | No | No",3,"3+","2"
"FTN2017-0005","01/07/2017","Use Of Force Authorized","Arresting","Hands | Hands | Force (Take Down) | Force (Take Down)","L1 | L1 | L2 | L2","White | Black | Hispanic | Black","Male | Male | Male | Male","39 | 48 | 51 | 34","16 | 29 | 2 | 9","Male","Black","22","No","Resisting Lawful Arrest","No | Yes | Yes | No",4,"3+","1"
"FTN2017-0007","01/09/2017","Use Of Force Authorized","Arresting","CEW Exhibited/Laser | Canine (No Bite) | CEW Deployment | CEW Exhibited/Laser","L1 | L2 | L2 | L1","Black | White | White | White","Male | Male | Male | Male","33 | 49 | 31 | 27","5 | 29 | 6 | 6","Male","Black","18","No","Resisting Lawful Arrest","Yes | No | Yes | Yes",4,"3+","2"
"FTN2017-0008","01/12/2017","Use Of Force Authorized","Arresting","Hands | Hands | CEW Exhibited/Laser | Hands","L1 | L1 | L1 | L1","Black | Hispanic | White | White","Male | Male | Male | Male","29 | 53 | 34 | 31","11 | 34 | 9 | 9",NA,NA,NA,"No","Escape","No | Yes | No | No",4,"3+","2"
"FTN2017-0009","01/13/2017","Use Of Force Authorized","Arresting","CEW Exhibited/Laser","L1","White","Male","35","8","Male","Black","26","No","Resisting Lawful Arrest","No",1,"1","2"
"FTN2017-0011","01/13/2017","Use Of Force Authorized","Call for Service","Firearm (Exhibited)","L1","Black","Male","40","22","Male | Male","Black | Black","25 | 19","No | No",NA,"No",1,"1","1"
"FTN2017-0010","01/13/2017","Use Of Force Authorized","Serving a Warrant","Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","White | White","Male | Male","39 | 33","14 | 9","Male","Black","30","No","Resisting Lawful Arrest","No | No",2,"2","1"
"FTN2017-0012","01/13/2017","Use Of Force Authorized","Serving a Warrant","Firearm (Exhibited)","L1","Black","Male","37","17","Male","Black","35","No",NA,"No",1,"1","1"
"FTN2017-0013","01/14/2017","Use Of Force Authorized","Call for Service","CEW Exhibited/Laser","L1","White","Male","30","5","Female","Black","24","No","refuse verbal commands","No",1,"1","2"
"FTN2017-0016","01/16/2017","Use Of Force Authorized","Arresting","Firearm (Exhibited) | CEW Exhibited/Laser | CEW Exhibited/Laser","L1 | L1 | L1","White | Black | Black","Male | Male | Male","29 | 29 | 34","11 | 12 | 14","Male","Black","18","No","Resisting Lawful Arrest","No | No | No",3,"3+","2"
"FTN2017-0015","01/16/2017","Use Of Force Authorized","Arresting","Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","Hispanic | White","Male | Female","50 | 37","23 | 6","Male","Black",NA,"No","Escape","No | No",2,"2","1"
"FTN2017-0020","01/16/2017","Use Of Force Authorized","Arresting","Force (Take Down) | Force (Take Down)","L2 | L2","White | White","Male | Male","35 | 28","11 | 8","Male","Black","20","No","Resisting Lawful Arrest","No | No",2,"2","1"
"FTN2017-0018","01/16/2017","Use Of Force Authorized","Call for Service","Hands","L1","White","Male","36","12","Male","White","32","No","Resisting Lawful Arrest","Yes",1,"1","1"
"FTN2017-0014","01/16/2017","Use Of Force Authorized","Pedestrian Stop","Force (Take Down)","L2","White","Male","26","5","Female","White","36","No","Escape","Yes",1,"1","1"
"FTN2017-0465","09/04/2017","Use Of Force Authorized","Call for Service","CEW Exhibited/Laser","L1","Black","Female","34","12","Male","Black","35","No","Resisting Lawful Arrest","No",1,"1","2"
"FTN2017-0466","09/05/2017","Use Of Force Authorized","Pedestrian Stop","Hands | Hands","L1 | L1","White | White","Male | Male","48 | 46","26 | 23","Male","Black","24","No","Resisting Lawful Arrest","No | No",2,"2","1"
"FTN2017-0468","09/06/2017","Use Of Force Authorized","Call for Service","Firearm (Exhibited)","L1","White","Male","44","12","Male","Hispanic","45","No","Weapon Exhibited","No",1,"1","1"
"FTN2017-0488","09/06/2017","Use Of Force Authorized","Serving a Warrant","Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1 | L1","Black | Black | White","Male | Male | Male","40 | 29 | 31","18 | 8 | 6","Male | Male | Female | Male","Black | Black | Black | Black","24 | 43 | 61 | 45","No | No | No | No","Tactical Deployments","No | No | No",3,"3+","1"
"FTN2017-0469","09/07/2017","Use Of Force Authorized","Pedestrian Stop","Canine (No Bite) | Firearm (Exhibited)","L2 | L1","White | Black","Male | Male","37 | 46","13 | 20","Male","Black","19","Yes",NA,"No | No",2,"2","2"
"FTN2017-0472","09/08/2017","Use Of Force Authorized","Arresting","Force (Take Down)","L2","Black","Male","29","5","Male","Black","19","No","Flight from an Officer","No",1,"1","1"
"FTN2017-0471","09/08/2017","Use Of Force Authorized","Call for Service","Hands","L1","Black","Male","22","5","Male","Black","34","No","refuse verbal commands","No",1,"1","1"
"FTN2017-0470","09/08/2017","Use Of Force Authorized","Traffic Stop","Firearm (Exhibited) | Hands | Firearm (Exhibited) | Firearm (Exhibited) | Hands | Firearm (Exhibited)","L1 | L1 | L1 | L1 | L1 | L1","Black | Black | White | Black | Hispanic | Black","Male | Male | Male | Male | Male | Female","34 | 34 | 38 | 45 | 28 | 34","13 | 13 | 16 | 25 | 9 | 6","Male","Black","39","No",NA,"No | No | No | No | No | No",6,"3+","1"
"FTN2017-0480","09/09/2017","Use Of Force Authorized","Call for Service","Hands","L1","White","Male","34","4","Male","Hispanic","0","No","Flight from an Officer","No",1,"1","1"
"FTN2017-0481","09/10/2017","Use Of Force Authorized","Pedestrian Stop","Force (Take Down) | CEW Exhibited/Laser | Force (Take Down)","L2 | L1 | L2","Black | White | White","Male | Male | Male","28 | 41 | 41","8 | 6 | 6","Male","Black","29","No","refuse verbal commands","No | No | No",3,"3+","2"
"FTN2017-0481","09/10/2017","Use Of Force Authorized","Pedestrian Stop","Force (Take Down) | CEW Exhibited/Laser | Force (Take Down)","L2 | L1 | L2","Black | White | White","Male | Male | Male","28 | 41 | 41","8 | 6 | 6","Male","Black","29","No","refuse verbal commands","No | No | No",3,"3+","2"
"FTN2017-0474","09/10/2017","Use Of Force Authorized","Arresting","Firearm (Exhibited)","L1","White","Male","52","5","Male","Black","32","No","refuse verbal commands","No",1,"1","1"
"FTN2017-0473","09/10/2017","Use Of Force Authorized","Call for Service","Firearm (Exhibited)","L1","White","Male","39","12","Male | Female | Male | Female","Black | Black | Black | Black","23 | 22 | 21 | 24","No | No | No | No",NA,"No",1,"1","1"
"FTN2017-0475","09/11/2017","Use Of Force Authorized","Call for Service","Firearm (Exhibited) | CEW Deployment | Force (Take Down) | Firearm (Exhibited)","L1 | L2 | L2 | L1","Black | White | White | Hispanic","Male | Male | Male | Male","28 | 24 | 24 | 40","6 | 5 | 5 | 4","Male","Black","29","Yes","Flight from an Officer","No | Yes | Yes | Yes",4,"3+","2"
"FTN2017-0475","09/11/2017","Use Of Force Authorized","Call for Service","Firearm (Exhibited) | CEW Deployment | Force (Take Down) | Firearm (Exhibited)","L1 | L2 | L2 | L1","Black | White | White | Hispanic","Male | Male | Male | Male","28 | 24 | 24 | 40","6 | 5 | 5 | 4","Male","Black","29","Yes","Flight from an Officer","No | Yes | Yes | Yes",4,"3+","2"
"FTN2017-0477","09/12/2017","Use Of Force Authorized",NA,"Force (Take Down) | Force (Take Down)","L2 | L2","Hispanic | Black","Male | Female","29 | 25","6 | 5","Male","Black","27","Yes","Escape","No | No",2,"2","1"
"FTN2017-0479","09/12/2017","Use Of Force Authorized","Arresting","Force (Take Down) | Force (Take Down)","L2 | L2","Asian/Pacifi | Black","Male | Male","31 | 23","12 | 5","Male","Black","28","Yes","Resisting Lawful Arrest","No | No",2,"2","1"
"FTN2017-0482","09/12/2017","Use Of Force Authorized","Arresting","Force (Take Down) | Hands | Force (Take Down)","L2 | L1 | L2","White | Black | Black","Male | Male | Male","30 | 31 | 31","5 | 4 | 4","Male | Female","White | White","30 | 26","No | No","Resisting Lawful Arrest","No | No | No",3,"3+","1"
"FTN2017-0478","09/12/2017","Use Of Force Authorized","Call for Service","Hands | Hands | Hands","L1 | L1 | L1","Black | Black | White","Male | Male | Male","44 | 45 | 23","23 | 9 | 4","Male","Black","25","No","Flight from an Officer","No | No | No",3,"3+","1"
"FTN2017-0478","09/12/2017","Use Of Force Authorized","Call for Service","Hands | Hands | Hands","L1 | L1 | L1","Black | Black | White","Male | Male | Male","44 | 45 | 23","23 | 9 | 4","Male","Black","25","No","Flight from an Officer","No | No | No",3,"3+","1"
"FTN2017-0483","09/13/2017","Use Of Force Authorized","Call for Service","Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1 | L1","White | White | White","Female | Male | Male","46 | 24 | 25","9 | 5 | 5","Male","Black","40","No","Weapon Exhibited","No | No | No",3,"3+","1"
"FTN2017-0486","09/13/2017","Use Of Force Authorized","Call for Service","CEW Exhibited/Laser","L1","Black","Male","28","6","Female","Black","30","No",NA,"No",1,"1","2"
"FTN2017-0484","09/13/2017","Use Of Force Authorized","Call for Service","Firearm (Exhibited)","L1","Black","Male","37","14","Male","Black","0","No",NA,"No",1,"1","1"
"FTN2017-0485","09/13/2017","Use Of Force Authorized","Traffic Stop","Firearm (Exhibited) | Force (Take Down)","L1 | L2","Black | Black","Male | Male","32 | 27","6 | 5","Male","Black","44","No","Flight from an Officer","No | No",2,"2","1"
"FTN2017-0491","09/14/2017","Use Of Force Authorized",NA,"Force (Defense Tech) | Force (Take Down)","L2 | L2","White | White","Male | Male","64 | 64","40 | 40","Male","White","56","No","Battery on Police Officer","No | No",2,"2","1"
"FTN2017-0491","09/14/2017","Use Of Force Authorized",NA,"Force (Defense Tech) | Force (Take Down)","L2 | L2","White | White","Male | Male","64 | 64","40 | 40","Male","White","56","No","Battery on Police Officer","No | No",2,"2","1"
"FTN2017-0487","09/14/2017","Use Of Force Authorized","Arresting","Hands | Hands","L1 | L1","White | White","Male | Male","26 | 26","5 | 5","Male","Black","47","Yes","refuse verbal commands","No | No",2,"2","1"
"FTN2017-0492","09/14/2017","Use Of Force Authorized","Traffic Stop","Firearm (Exhibited) | CEW Exhibited/Laser | Firearm (Exhibited)","L1 | L1 | L1","Black | Black | Black","Male | Male | Male","43 | 29 | 29","14 | 5 | 5","Male","Black","19","No","Flight from an Officer","No | No | No",3,"3+","2"
"FTN2017-0492","09/14/2017","Use Of Force Authorized","Traffic Stop","Firearm (Exhibited) | CEW Exhibited/Laser | Firearm (Exhibited)","L1 | L1 | L1","Black | Black | Black","Male | Male | Male","43 | 29 | 29","14 | 5 | 5","Male","Black","19","No","Flight from an Officer","No | No | No",3,"3+","2"
"FTN2017-0490","09/14/2017","Use Of Force Authorized","Call for Service","CEW Deployment","L2","White","Male","39","16","Male","Black","48","No",NA,"No",1,"1","2"
"FTN2017-0493","09/15/2017","Use Of Force Authorized","Arresting","Hands | Force (Defense Tech) | Force (Defense Tech)","L1 | L2 | L2","Black | Black | Not Specifie","Male | Male | Male","29 | 29 | 28","8 | 8 | 6","Male","Black","22","No","Resisting Lawful Arrest","No | No | No",3,"3+","1"
"FTN2017-0495","09/17/2017","Use Of Force Authorized","Call for Service","CEW Exhibited/Laser","L1","Black","Female","35","5","Male","Black","42","No","Resisting Lawful Arrest","No",1,"1","2"
"FTN2017-0496","09/17/2017","Use Of Force Authorized","Arresting","Firearm (Exhibited)","L1","White","Male","26","6","Male","Black","28","No","Weapon Exhibited","No",1,"1","1"
"FTN2017-0497","09/18/2017","Use Of Force Authorized","Pedestrian Stop","Force (Escort Tech) | CEW Deployment","L1 | L2","Black | Black","Male | Male","41 | 40","16 | 17","Male","Black","23","Yes","Flight from an Officer","No | No",2,"2","2"
"FTN2017-0498","09/19/2017","Use Of Force Authorized","Call for Service","CEW Deployment | Hands","L2 | L1","Black | White","Male | Male","54 | 41","17 | 7","Male","Black","28","Yes","Battery on Police Officer","No | No",2,"2","2"
"FTN2017-0502","09/20/2017","Use Of Force Authorized","Traffic Stop","Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","White | White","Male | Male","37 | 33","17 | 8","Male | Male","Black | Black","23 | 24","No | No","Flight from an Officer","No | No",2,"2","1"
"FTN2017-0499","09/20/2017","Use Of Force Authorized","Call for Service","Firearm (Exhibited)","L1","White","Male","42","12","Male | Male","Black | Black","26 | 26","No | No","Weapon Exhibited","No",1,"1","1"
"FTN2017-0501","09/21/2017","Use Of Force Authorized","Serving a Warrant","Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","White | White","Male | Male","31 | 33","6 | 6","Male","Black","19","No","refuse verbal commands","No | No",2,"2","1"
"FTN2017-0503","09/23/2017","Use Of Force Authorized","Call for Service","Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1 | L1","White | White | Asian/Pacifi","Male | Male | Male","33 | 32 | 25","13 | 5 | 5","Male | Male | Male | Male","White | White | White | White","39 |  |  | ","No | No | No | No","Weapon Exhibited","No | No | No",3,"3+","1"
"FTN2017-0504","09/24/2017","Use Of Force Authorized","Pedestrian Stop","Firearm (Exhibited)","L1","White","Male","34","9","Male","Black","24","No","Weapon Exhibited","No",1,"1","1"
"FTN2017-0508","09/26/2017","Use Of Force Authorized",NA,"Hands","L1","Black","Male","43","13","Female","Black","16","No","refuse verbal commands","No",1,"1","1"
"FTN2017-0510","09/26/2017","Use Of Force Authorized","Arresting","Force (Take Down) | Force (Take Down)","L2 | L2","White | Hispanic","Male | Male","24 | 40","5 | 4","Male","Black","27","Yes","refuse verbal commands","No | No",2,"2","1"
"FTN2017-0506","09/26/2017","Use Of Force Authorized","Traffic Stop","Firearm (Exhibited)","L1","White","Male","43","23","Male","Black","23","No","Flight from an Officer","No",1,"1","1"
"FTN2017-0509","09/26/2017","Use Of Force Authorized","Call for Service","Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","Black | Black","Male | Male","31 | 29","11 | 6","Male","Black","19","No","Flight from an Officer","No | No",2,"2","1"
"FTN2017-0505","09/26/2017","Use Of Force Authorized","Traffic Stop","Force (Take Down) | Force (Take Down)","L2 | L2","Black | Black","Male | Male","47 | 34","4 | 4","Male","Black","31","No","Resisting Lawful Arrest","No | No",2,"2","1"
"FTN2017-0507","09/26/2017","Use Of Force Authorized","Call for Service","Hands","L1","White","Male","29","6","Female","White","27","No","Flight from an Officer","No",1,"1","1"
"FTN2017-0511","09/27/2017","Use Of Force Authorized","Arresting","Hands | Hands | Hands","L1 | L1 | L1","Black | Black | Not Specifie","Male | Female | N","47 | 27 | 76","24 | 7 | 11","Male","Black","19","Yes","Resisting Lawful Arrest","No | No | No",3,"3+","1"
"FTN2017-0512","09/27/2017","Use Of Force Authorized","Arresting","Firearm (Exhibited)","L1","White","Male","38","14","Male | Male | Male","Black | Black | Black","0 | 24 | 23","No | No | No","refuse verbal commands","No",1,"1","1"
"FTN2017-0515","09/28/2017","Use Of Force Authorized","Traffic Stop","Force (Defense Tech) | Force (Take Down)","L2 | L2","Black | White","Male | Male","42 | 28","18 | 4","Male","Hispanic",NA,"No","Flight from an Officer","No | Yes",2,"2","1"
"FTN2017-0514","09/28/2017","Use Of Force Authorized","Pedestrian Stop","Hands | Other | Force (Escort Tech) | Hands | Force (Escort Tech) | Force (Take Down) | Force (Escort Tech)","L1 | L1 | L1 | L1 | L1 | L2 | L1","Black | Black | Black | Black | Black | Black | Black","Male | Male | Male | Male | Male | Male | Female","41 | 41 | 49 | 49 | 32 | 32 | 25","16 | 16 | 28 | 28 | 5 | 5 | 5","Female","Black","33","Yes","Flight from an Officer","No | No | No | No | No | No | No",7,"3+","2"
"FTN2017-0518","09/28/2017","Use Of Force Authorized","Call for Service","Firearm (Exhibited)","L1","White","Male","32","5","Male","Black","20","No",NA,"No",1,"1","1"
"FTN2017-0516","09/29/2017","Use Of Force Authorized","Pedestrian Stop","Firearm (Exhibited)","L1","Black","Male","29","7","Male","Black","31","No","Flight from an Officer","No",1,"1","1"
"FTN2017-0517","09/29/2017","Use Of Force Authorized","Traffic Stop","Firearm (Exhibited)","L1","Black","Male","40","22","Male | Male","Black | Black","27 | 19","No | No",NA,"No",1,"1","1"
"FTN2017-0519","09/30/2017","Use Of Force Authorized",NA,"CEW Exhibited/Laser","L1","White","Male","29","5","Male","Black","47","Yes","Flight from an Officer","No",1,"1","2"
"FTN2017-0520","10/01/2017","Use Of Force Authorized","Call for Service","Force (Take Down)","L2","Black","Male","34","4","Female","Black","16","No","Flight from an Officer","No",1,"1","1"
"FTN2017-0521","10/01/2017","Use Of Force Authorized","Arresting","Force (Take Down) | Hands","L2 | L1","White | White","Male | Male","32 | 33","5 | 5","Male","Black","19","No","Resisting Lawful Arrest","No | No",2,"2","1"
"FTN2017-0522","10/03/2017","Use Of Force Authorized","Call for Service","Hands | Force (Take Down)","L1 | L2","White | White","Male | Female","38 | 39","8 | 6","Male","Black","26","No","Resisting Lawful Arrest","No | Yes",2,"2","1"
"FTN2017-0523","10/04/2017","Use Of Force Authorized","Arresting","Firearm (Exhibited)","L1","White","Male","26","6","Male","Black","31","No","Flight from an Officer","No",1,"1","1"
"FTN2017-0525","10/05/2017","Use Of Force Authorized","Call for Service","CEW Deployment","L2","White","Male","35","16","Male","Hispanic","17","No","refuse verbal commands","No",1,"1","2"
"FTN2017-0524","10/05/2017","Use Of Force Authorized","Serving a Warrant","Firearm (Exhibited)","L1","Black","Male","37","14","Male","Black","0","No","refuse verbal commands","No",1,"1","1"
"FTN2017-0526","10/06/2017","Use Of Force Authorized","Call for Service","CEW Exhibited/Laser","L1","Asian/Pacifi","Male","25","5","Male","Black","53","No","Flight from an Officer","No",1,"1","2"
"FTN2017-0527","10/08/2017","Use Of Force Authorized","Arresting","Canine (No Bite)","L2","White","Male","49","29","Male","Black","37","No","Weapon Exhibited","No",1,"1","2"
"FTN2017-0528","10/08/2017",NA,"Call for Service","Hands | Hands | Hands | Hands | Hands","L1 | L1 | L1 | L1 | L1","White | White | Hispanic | White | White","Male | Male | Male | Male | Female","30 | 43 | 28 | 36 | 22","12 | 21 | 5 | 5 | 4","Male","Black","59","No","Resisting Lawful Arrest","No | Yes | No | No | Yes",5,"3+","1"
"FTN2017-0529","10/09/2017","Use Of Force Authorized",NA,"Hands","L1","Black","Male","32","13","Male","Black","9","No",NA,"No",1,"1","1"
"FTN2017-0530","10/10/2017","Use Of Force Authorized","Call for Service","Hands | CEW","L1 | L4","Hispanic | Hispanic","Female | Female","38 | 38","5 | 5","Male","White","43","No","Battery on Police Officer","No | No",2,"2","2"
"FTN2017-0531","10/10/2017","Use Of Force Authorized","Call for Service","Force (Take Down)","L2","White","Male","27","5","Male","Black","50","Yes","Resisting Lawful Arrest","No",1,"1","1"
"FTN2017-0532","10/10/2017","Use Of Force Authorized","Arresting","Hands | CEW Exhibited/Laser | Hands","L1 | L1 | L1","White | White | White","Female | Male | Male","31 | 23 | 25","5 | 5 | 5","Male","Black","43","No","Resisting Lawful Arrest","No | No | No",3,"3+","2"
"FTN2017-0532","10/10/2017","Use Of Force Authorized","Arresting","Hands | CEW Exhibited/Laser | Hands","L1 | L1 | L1","White | White | White","Female | Male | Male","31 | 23 | 25","5 | 5 | 5","Male","Black","43","No","Resisting Lawful Arrest","No | No | No",3,"3+","2"
"FTN2017-0533","10/10/2017","Use Of Force Authorized","Arresting","Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1 | L1","White | White | White","Male | Male | Male","39 | 43 | 33","14 | 11 | 9","Male | Male","Black | Black","18 | 22","No | No","Flight from an Officer","No | No | No",3,"3+","1"
"FTN2017-0534","10/13/2017","Pending","Pedestrian Stop","Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Discharged) | Hands | CEW Deployment","L1 | L1 | L4 | L1 | L2","White | Black | White | Black | Black","Male | Male | Male | Male | Male","39 | 40 | 33 | 29 | 29","14 | 18 | 6 | 6 | 6","Male | Female | Male","Black | Black | Black","30 | 29 | 24","Yes | Yes | Yes","Flight from an Officer","No | No | No | Yes | Yes",5,"3+","3"
